WKT,date,time,victims
"POINT (24.7692203273 42.1290185891)",7.2.2024,15:47,injured
"POINT (24.78714 42.12944)",9.10.2023,08:30,injured
"POINT (24.77709 42.13051)",10.6.2022,19:45,injured
"POINT (25.04309 42.13175)",14.10.2022,07:00,injured
"POINT (24.69778 42.13195)",5.5.2023,17:40,injured
"POINT (24.47056 42.13324)",23.6.2023,12:30,injured
"POINT (24.7885688418 42.133661174)",11.11.2024,16:25,unharmed
"POINT (24.7351290988 42.1350461573)",22.2.2025,13:00,injured
"POINT (24.7632838 42.1352704)",4.9.2024,16:20,unharmed
"POINT (24.76376 42.13552)",8.4.2022,07:20,injured
"POINT (24.74195 42.13565)",19.9.2022,18:25,injured
"POINT (24.5336121833 42.1356706833)",1.11.2024,07:55,injured
"POINT (24.7575 42.13647)",5.5.2022,12:00,injured
"POINT (24.5337022 42.1369121833)",19.12.2024,13:20,injured
"POINT (24.7639209889 42.1373634954)",10.6.2024,11:40,unharmed
"POINT (24.76892 42.13779)",21.6.2022,08:30,injured
"POINT (24.79094 42.13843)",27.5.2022,11:50,injured
"POINT (24.7123 42.13869)",7.10.2022,18:40,injured
"POINT (24.73846 42.1387)",30.5.2022,10:50,injured
"POINT (24.790748 42.138844)",23.3.2024,21:10,unharmed
"POINT (24.790748 42.138844)",23.3.2024,21:10,injured
"POINT (24.71233 42.13912)",28.2.2022,19:00,injured
"POINT (24.74674 42.14037)",6.10.2022,21:20,injured
"POINT (24.7950861119 42.1404008784)",9.4.2024,07:45,unharmed
"POINT (24.7352713331 42.1407315858)",8.5.2024,07:40,unharmed
"POINT (24.73772 42.14113)",22.10.2023,18:45,unharmed
"POINT (24.71968 42.14177)",2.10.2022,14:00,injured
"POINT (24.74255 42.14225)",17.8.2023,18:30,injured
"POINT (24.78247 42.14229)",13.7.2022,17:40,injured
"POINT (24.74445 42.14249)",24.5.2022,16:20,injured
"POINT (23.59473748 42.142798)",13.10.2024,12:15,injured
"POINT (24.7325174083 42.1428879553)",30.1.2025,07:45,unharmed
"POINT (24.7327107383 42.1429735401)",27.3.2024,11:30,injured
"POINT (24.7850585676 42.1433807422)",4.3.2024,13:25,injured
"POINT (24.74125 42.14456)",22.6.2022,09:55,injured
"POINT (24.74125 42.14456)",22.6.2022,09:55,injured
"POINT (24.28944 42.14536)",14.7.2021,17:06,died
"POINT (25.20649 42.14559)",24.6.2022,14:10,injured
"POINT (24.72575 42.14647)",13.9.2022,10:20,injured
"POINT (24.72541 42.14698)",21.9.2022,12:10,injured
"POINT (24.80389 42.14724)",9.3.2023,14:45,injured
"POINT (24.765883 42.147247)",27.11.2024,18:20,unharmed
"POINT (24.72009 42.14729)",18.4.2023,12:40,injured
"POINT (24.77012 42.14739)",29.9.2023,20:22,injured
"POINT (24.72872 42.14742)",14.10.2022,13:08,injured
"POINT (24.7292588827 42.1475973323)",9.4.2024,17:50,injured
"POINT (24.7958757 42.1478403)",2.7.2024,06:05,injured
"POINT (24.78665 42.14833)",27.5.2022,12:30,injured
"POINT (24.78317 42.14849)",1.8.2022,16:20,injured
"POINT (24.7495 42.14915)",18.10.2023,19:41,injured
"POINT (24.8071898209 42.1497329748)",1.8.2024,09:45,injured
"POINT (24.29851805 42.1499008333)",15.1.2024,17:30,unharmed
"POINT (24.7753339695 42.1506137341)",6.6.2024,13:15,injured
"POINT (24.3021332583 42.1522055665)",17.3.2025,11:00,injured
"POINT (24.7611807138 42.153092366)",16.4.2024,13:00,injured
"POINT (25.3449034833 42.1544869167)",24.5.2024,19:10,died
"POINT (24.7310497829 42.1553159229)",14.3.2025,16:23,unharmed
"POINT (24.73064 42.15532)",15.6.2022,18:15,injured
"POINT (24.7310496154 42.1553841191)",29.7.2024,18:30,unharmed
"POINT (24.7485005867 42.1555174453)",27.5.2024,20:15,unharmed
"POINT (24.73129 42.15829)",6.7.2022,09:00,injured
"POINT (24.75689 42.15953)",31.7.2022,20:30,injured
"POINT (24.73832 42.15985)",26.8.2022,18:55,injured
"POINT (24.7313050312 42.1614568473)",13.6.2024,12:20,unharmed
"POINT (24.7429556914 42.1618103828)",18.2.2025,10:35,unharmed
"POINT (24.3164043 42.1711563667)",4.2.2025,16:10,unharmed
"POINT (24.3164043 42.1711563667)",4.2.2025,16:10,injured
"POINT (24.3206419 42.1728967333)",29.11.2024,18:35,injured
"POINT (26.57088 42.17369)",1.9.2023,14:06,unharmed
"POINT (26.57084 42.17535)",7.7.2021,11:30,unharmed
"POINT (24.35631 42.17538)",17.11.2021,16:40,injured
"POINT (26.57641 42.1793)",7.4.2022,12:30,unharmed
"POINT (26.57316 42.17983)",8.8.2022,19:00,injured
"POINT (24.33109 42.18586)",14.3.2021,19:00,injured
"POINT (24.2790211 42.1863126)",13.11.2024,19:35,died
"POINT (24.276756 42.186587)",27.8.2024,17:45,injured
"POINT (24.3342631333 42.1868538833)",30.3.2025,17:35,injured
"POINT (24.34443 42.18719)",24.7.2021,11:00,injured
"POINT (24.342963 42.187327)",12.6.2024,18:45,injured
"POINT (24.34384 42.18757)",25.10.2021,19:00,injured
"POINT (24.331427 42.188433)",24.8.2024,14:30,unharmed
"POINT (24.33785 42.18948)",4.10.2021,13:00,injured
"POINT (24.3413109333 42.1895651667)",4.4.2024,17:00,injured
"POINT (24.3414230179 42.1897634411)",15.3.2024,08:10,injured
"POINT (24.3310592833 42.1911813667)",19.4.2024,18:55,injured
"POINT (24.34224 42.19127)",4.10.2021,10:15,injured
"POINT (24.32997 42.19466)",9.6.2021,19:20,injured
"POINT (25.31277 42.1951)",5.3.2021,10:30,injured
"POINT (24.34090825 42.1986849667)",25.12.2024,12:50,injured
"POINT (25.04335 42.20349)",30.9.2022,19:32,injured
"POINT (24.32728 42.20406)",14.10.2021,20:00,died
"POINT (24.3309431833 42.2072737833)",5.8.2024,07:40,injured
"POINT (24.15776 42.21368)",9.8.2021,05:30,injured
"POINT (24.12735 42.21414)",26.9.2021,11:21,injured
"POINT (24.15963 42.21476)",13.7.2022,16:00,injured
"POINT (24.81955 42.22719)",25.4.2022,21:00,died
"POINT (24.6877950292 42.2368516315)",31.8.2024,20:30,unharmed
"POINT (27.734644971 42.2600446521)",24.6.2024,19:00,injured
"POINT (24.88122 42.26053)",21.10.2023,23:50,injured
"POINT (24.88633 42.26244)",19.8.2022,21:15,injured
"POINT (27.7410310674 42.2635273638)",14.9.2024,15:50,injured
"POINT (24.89283 42.26473)",28.7.2022,21:40,injured
"POINT (24.53535 42.26763)",15.1.2021,07:50,injured
"POINT (24.5504160475 42.2682743675)",18.12.2024,08:05,injured
"POINT (22.6579070471 42.2734289436)",1.5.2024,16:15,injured
"POINT (24.9304428529 42.2743097717)",30.10.2024,08:00,injured
"POINT (22.66812 42.27517)",30.8.2023,08:00,injured
"POINT (25.6681994256 42.2751856057)",13.2.2025,14:30,injured
"POINT (22.6918 42.27937)",27.9.2022,15:20,injured
"POINT (24.9546072 42.2820001)",2.7.2024,15:15,injured
"POINT (24.9405373782 42.2822735551)",15.11.2024,10:21,died
"POINT (24.9570673897 42.2830105852)",23.9.2024,19:50,injured
"POINT (22.68456 42.28319)",11.7.2022,09:40,injured
"POINT (22.7024231452 42.2848446883)",29.10.2024,09:20,unharmed
"POINT (24.96101 42.28514)",27.2.2021,12:15,injured
"POINT (23.5340191 42.2853852)",26.10.2024,11:54,injured
"POINT (22.71339 42.28714)",2.5.2023,11:33,injured
"POINT (24.2309375667 42.2880857)",6.5.2024,16:40,injured
"POINT (24.96549 42.28848)",3.6.2022,17:15,injured
"POINT (22.70183 42.29302)",26.6.2023,19:05,injured
"POINT (22.70478 42.29456)",9.7.2023,15:40,injured
"POINT (22.7154793856 42.2987351151)",1.11.2024,17:55,injured
"POINT (24.7631 42.32464)",28.10.2022,11:08,injured
"POINT (24.7514024 42.3345235)",18.4.2024,20:35,injured
"POINT (24.80281 42.3366)",18.8.2022,17:00,injured
"POINT (23.5563708 42.3371096)",14.11.2024,17:10,injured
"POINT (24.8120928 42.3374783333)",14.9.2024,18:17,injured
"POINT (25.0834744848 42.3377658475)",2.4.2024,20:58,injured
"POINT (27.19064 42.34218)",24.12.2021,19:10,injured
"POINT (23.4851145 42.342928)",6.2.2024,13:25,died
"POINT (23.56616 42.34502)",23.5.2021,10:30,injured
"POINT (23.441878 42.345718)",21.11.2024,17:30,injured
"POINT (24.48712 42.34653)",16.10.2021,10:20,died
"POINT (27.19342 42.35103)",27.8.2021,19:20,injured
"POINT (27.29385 42.3921)",11.11.2021,15:50,died
"POINT (27.26518447 42.39412036)",29.6.2024,23:00,injured
"POINT (25.6012432861 42.4164108652)",29.5.2024,16:46,injured
"POINT (27.6939998333 42.4182847667)",23.8.2024,20:50,unharmed
"POINT (25.6303786028 42.4223954202)",19.7.2024,14:50,injured
"POINT (25.6203121984 42.4230784527)",8.7.2024,17:45,injured
"POINT (24.78167 42.42508)",28.8.2023,23:10,injured
