WKT,Категория,Категория #,Град/район,Име,name,description,Категория #
"LINESTRING (23.336349 42.657659, 23.335405 42.657336, 23.334686 42.656933, 23.333796 42.656168, 23.333002 42.655852, 23.332111 42.65575, 23.331028 42.656065, 23.329636 42.656635, 23.316125 42.656925)",Велоалеи,1.0,София,бул. Филип Кутев,,,
"LINESTRING (23.27393 42.685424, 23.271366 42.682798)",,2.0,София,бул. Овча Купел,,,
"LINESTRING (23.272383 42.672021, 23.269352 42.674115)",,2.0,София,бул. Овча Купел,,,
"LINESTRING (23.2690184 42.674191, 23.2688524 42.674561, 23.2680964 42.676999, 23.2694424 42.681096)",Велоалеи,1.0,София,бул. Овча Купел,,,
"LINESTRING (23.2694676 42.6811174, 23.2698652 42.6816367, 23.271372 42.682501, 23.274119 42.685238)",Велоалеи,1.0,София,бул. Овча Купел,,,
"LINESTRING (23.378947 42.644229, 23.380296 42.646488)",Велоалеи,1.0,София,Line 74,,,
"LINESTRING (23.400808 42.643137, 23.401519 42.642947, 23.401886 42.642728, 23.40185 42.642567, 23.405339 42.639538, 23.406371 42.638204, 23.407222 42.636823, 23.408469 42.635078, 23.409021 42.633143, 23.409009 42.632596, 23.40867 42.630713, 23.408453 42.6298, 23.408318 42.629418, 23.408141 42.62908, 23.406789 42.626827, 23.406477 42.625931, 23.40618 42.625063, 23.405786 42.624265, 23.405338 42.62341)",Велоалеи,1.0,София,Велоалея - Самоковско Шосе,,,
"LINESTRING (23.319579 42.68304, 23.319426 42.68319, 23.319508 42.683721)",Велоалеи,1.0,София,Line 77,,,
"LINESTRING (23.309012 42.656996, 23.306551 42.657047, 23.304749 42.657181, 23.303826 42.65737, 23.299792 42.659549)",Велоалеи,1.0,София,Line 69,,,
"LINESTRING (23.299658 42.659362, 23.303783 42.657181, 23.304738 42.656976, 23.306583 42.656842, 23.316028 42.656705)",Велоалеи,1.0,София,Line 70,,,
"LINESTRING (23.310499 42.656956, 23.316125 42.656925)",Велоалеи,1.0,София,Line 82,,,
